pl_name,pl_hab,pl_orbper,pl_rade,pl_masse,pl_eqt,st_teff,sy_dist
GJ 414 A b,0,50.8,2.63,,308.6,4120,11.8893
GJ 414 A c,0,749.83,8.4,,124.7,4120,11.8893
GJ 422 b,0,26.161,,,,3323,12.6631
GJ 4276 b,0,13.352,,,,3387,21.3362
GJ 433 b,0,7.3709,,,,3461,9.06456
GJ 433 c,0,3400,,,,3472,9.06456
GJ 436 b,0,2.64385,4.2224,23.1688,649,3350,9.75321
GJ 463 b,0,3448,,1080.616584,,3540,18.3554
GJ 480 b,0,9.567,,,,,14.2358
GJ 486 b,0,1.467119,1.305,2.82,701,3340,8.07426
GJ 504 b,0,,,1271.3,510,6234,17.5299
GJ 508.2 b,0,5300,,,,3720,16.6374
GJ 536 b,0,8.70874,,,451,3641,10.4092
GJ 536 c,0,32.761,,,290.5,3641,10.4092
GJ 581 b,0,5.3686,,20.5,,3500,6.2981
GJ 581 c,0,12.9211,,6.81,,3500,6.2981
GJ 581 e,0,3.1481,,2.48,,3500,6.2981
GJ 625 b,0,14.628,,,,3499,6.47249
GJ 649 b,0,600.1,,,,3734,10.3796
GJ 667 C b,0,7.2004,,,,3350,7.24396
GJ 667 C g,0,256.2,,,,3350,7.24396
GJ 674 b,0,4.6938,,,,3600,4.54896
GJ 676 A b,0,1056.80005,,,,3734,16.0272
GJ 676 A c,0,13921.42302,,4288.140867,,,16.0272
GJ 676 A d,0,3.6,,,,,16.0272
GJ 676 A e,0,35.37,,,,,16.0272
GJ 680 b,0,17281.66514,,7977.493016,,,9.67315
GJ 682 c,0,57.32,,,,3028,5.00671
GJ 685 b,0,24.16,,,,3816,14.3155
GJ 687 b,0,38.14,,,,3413,4.54939
GJ 687 c,0,727.562,,,,,4.54939
GJ 720 A b,0,19.466,,,401,3837,15.5575
GJ 724 b,0,5.101284,,,611,3799,16.9658
GJ 740 b,0,2.37756,,,829,3913,11.1017
GJ 806 b,0,0.9263237,1.331,1.9,940,3600,12.0445
GJ 806 c,0,6.64064,,,490,3600,12.0445
GJ 832 b,0,3610,,254.2627256,,3472,4.96435
GJ 849 b,0,1925.31,,,,3467,8.80058
GJ 849 c,0,5990,,,,3467,8.80058
GJ 86 b,0,15.76491,,,,5182,10.7836
GJ 876 b,0,60.83,,804.076,,3271,4.67517
GJ 876 c,0,30.455,,251.075,,3271,4.67517
GJ 876 d,0,1.93774,,7.53,,3271,4.67517
GJ 876 e,0,124.4,,,,3271,4.67517
GJ 887 b,0,9.262,,,468,3688,3.29
GJ 887 c,0,21.789,,,352,3688,3.29
GJ 896 A b,0,284.39,,718.2921998,,,6.26022
GJ 900 b,0,,,3496.112477,,,20.8065
GJ 9066 c,0,771.36,,,,3154,4.471
GJ 9404 b,0,13.4586,,,,,23.8839
GJ 96 b,0,73.94,,,,3785,11.9315
GJ 9689 b,0,18.27,,,453.04,3836,30.6203
GJ 9714 b,0,19240.75467,,2988.540511,,,20.5121
GJ 9773 b,0,2965,,,,3528,15.9211
GJ 9827 b,0,1.2089802,1.62,3.42,1172,4269,29.661
GJ 9827 c,0,3.648083,1.269,2.42,811,4269,29.661
GJ 9827 d,0,6.20183,1.98,3.02,675,4236,29.661
GPX-1 b,0,1.744579,16.47720163,6261.219618,2300,7000,655.013
GQ Lup b,0,,51.5614,9852.73,2400,4360,151.169
GSC 06214-00210 b,0,,20.1762,4767.45,2200,4432,108.5
GU Psc b,0,,14.179,3591.3,1050,,47.5501
Gaia-1 b,0,3.052524,13.77583728,533.9517238,,5470,363.66
Gaia-2 b,0,3.6915224,14.81827249,259.6658085,,5720,209.229
Gaia-4 b,0,571.3,,3750.375203,,4034,73.4829
Gaia-5 b,0,358.62,,6633.078854,,3447,41.1813
Gaia22dkvL b,0,,,261.2549506,,,1040
Gl 378 b,0,3.822,,,830,3879,14.9545
Gl 410 b,0,6.02,,,,3842,11.9324
Gl 49 b,0,13.8508,,,,3805,9.8528
Gl 686 b,0,15.53209,,,379,3663,8.15728
Gl 725 A b,0,11.2201,,,,3433,3.5214
Gliese 12 b,0,12.76142,0.9,10,315,3253,12.21
HAT-P-1 b,0,4.46543,13.921578,169.08556,1306,5975,158.979
HAT-P-11 b,0,4.8878162,4.73,25.743,878,4780,37.7647
HAT-P-11 c,0,3407,,,,4780,37.7647
HAT-P-12 b,0,3.2130598,10.749,67.059,963,4650,142.751
HAT-P-13 b,0,2.91626,14.359,271.098,1653,5653,246.81
HAT-P-13 c,0,428.5,,,340,5653,246.81
HAT-P-14 b,0,4.627669,12.89,709.367,1570,6600,222.663
HAT-P-15 b,0,10.863502,12.016,618.471,904,5568,192.516
HAT-P-16 b,0,2.77596,14.448,1332.605,1626,6158,226.637
HAT-P-17 b,0,10.338523,11.321,169.71,792,5246,92.3831
HAT-P-17 c,0,1610,,,,5246,92.3831
HAT-P-18 b,0,5.508023,11.153,62.61,852,4803,161.4
HAT-P-19 b,0,4.00878322,11.29865255,88.03846874,981.2,4962,202.078
HAT-P-2 b,0,5.6334729,12.969,2888.95,1540,6290,127.774
HAT-P-2 c,0,8500,,3400.763955,,,127.774
HAT-P-20 b,0,2.875317,9.718,2302.899,970,4595,71.0374
HAT-P-21 b,0,4.124481,11.478,1291.289,1283,5588,277.278
HAT-P-22 b,0,3.21222,12.106,682.352,1283,5302,81.7647
HAT-P-23 b,0,1.212884,15.334,664.237,2056,5905,364.813
HAT-P-24 b,0,3.35524,13.922,217.704,1637,6373,415.344
HAT-P-25 b,0,3.65281514,12.722215,180.84527,1182,5519,300.384
HAT-P-26 b,0,4.234516,6.333,18.751,1001,5079,141.837
HAT-P-27 b,0,3.039586,11.6349,209.759,,5300,199.173
HAT-P-28 b,0,3.257215,13.585,198.953,1384,5680,401.319
HAT-P-29 b,0,5.723186,12.408,247.261,1260,6087,313.576
HAT-P-3 b,0,2.899703,10.076891,189.42668,1127,5185,134.554
HAT-P-30 b,0,2.810595,15.02,225.968,1630,6304,213.985
HAT-P-31 b,0,5.005425,11.99363,682.38101,,6070,344.05
HAT-P-32 b,0,2.1500082,22.19382,216.1244,1835.7,6001,289.205
HAT-P-33 b,0,3.474474,18.898,242.176,1782,6446,396.11
